Polysync Actuator Board BOM V1.2.0,,,,,,,,
,,,,,,,,
Quantity,Reference Designator,Description,Mfg,Mfg Part No.,Distributor,Distributor Part No.,Price,Total Price
1,U13,Linear Voltage Regulator IC Positive Fixed 1 Output 5V 750mA DDPAK/TO-263-3,Texas Instruments,TL750M05CKTTR,Digikey,296-20776-1-ND,1.47,1.47
4,"U1, U2, U3, U4",Low-Side Gate Driver IC Non-Inverting 8-SOIC,Texas Instruments,UCC27524DR,Digikey,296-30129-1-ND,1.94,7.76
1,RELAY1,General Purpose Relay DPDT (2 Form C) Surface Mount,Kemet,EE2-5NU-L,Digikey,399-11017-1-ND,1.91,1.91
1,RELAY2,Automotive Relay SPDT (1 Form C) 12VDC Coil Through Hole,TE Connectivity Potter & Brumfield Relays,1432868-1,Digikey,PB1040-ND,3.46,3.46
1,RELAY3,Relay Socket Through Hole,TE Connectivity Potter & Brumfield Relays,VCF4-1000,Digikey,PB232-ND,1.8,1.8
1,JP2,"2 Positions Header, Unshrouded Connector 0.100"" (2.54mm) Through Hole Gold or Gold, GXT™",Amphenol FCI,77311-118-02LF,Digikey,609-4434-ND,0.18,0.18
1,JP1,"10 Positions Header, Unshrouded Connector 0.100"" (2.54mm) Through Hole Gold",Wurth Electronics Inc,61301011121,Digikey,732-2670-ND,1.01,1.01
1,XIO,"36 Positions Header, Unshrouded Connector 0.100"" (2.54mm) Through Hole Gold",Wurth Electronics Inc,61303621121,Digikey,732-5309-ND,1.64,1.64
5,"ADCH, ADCL, COMMUNICATION, POWER, PWML","8 Positions Header, Unshrouded Connector 0.100"" (2.54mm) Through Hole Gold",Wurth Electronics Inc,61300811121,Digikey,732-5321-ND,0.35,1.75
2,"CON11, CON17","2 Position Wire to Board Terminal Block Horizontal with Board 0.400"" (10.16mm) Through Hole",Phoenix Contact,1773976,Digikey,277-5761-ND,8.66,17.32
11,"CON1, CON2, CON3, CON4, CON5, CON6, CON7, CON8, CON12, CON14, CON16","2 Position Wire to Board Terminal Block 45° (135°) Angle with Board 0.138"" (3.50mm) Through Hole",Phoenix Contact,1988956,Digikey,277-1779-ND,0.41,4.51
3,"CON9, CON10, CON13","3 Position Wire to Board Terminal Block 45° (135°) Angle with Board 0.138"" (3.50mm) Through Hole",Phoenix Contact,1988969,Digikey,277-1780-ND,0.61,1.83
1,CON15,"5 Position Wire to Board Terminal Block 45° (135°) Angle with Board 0.138"" (3.50mm) Through Hole",Phoenix Contact,1988985,Digikey,277-1782-ND,0.97,0.97
2,"F1, F3",Fuse Holder 80V 1 Circuit Blade PCB,Littelfuse Inc.,178.6165.0001,Digikey,F5197-ND,3.24,6.48
,,,,,,,,
1,For F3,FUSE AUTO 40A 32VDC BLADE,Littelfuse Inc.,0257040.PXAPC,Digikey,F5952-ND,0.47,0.47
1,For F1,FUSE AUTOMOTIVE 20A 32VDC BLADE,Littelfuse Inc.,0287020.PXCN,Digikey,F4201-ND,0.28,0.28
1,For JP2,"2 (1 x 2) Position Shunt Connector White Open Top 0.100"" (2.54mm) Gold or Gold, GXT™",Amphenol FCI,68786-102LF,Digikey,609-3121-ND,0.19,0.19
Total,,,,,,,,$117.15
